neighborhood,building type,2013,2014,2015,2016,2017,2018
Adams-Normandie,Multifamily,4189,4189,4196,4198,4194,4193
Arleta,Multifamily,226,224,226,147,147,151
Arlington Heights,Multifamily,5934,5943,5939,5967,5968,5973
Atwater Village,Multifamily,2902,2898,2898,2900,2900,2906
Baldwin Hills/Crenshaw,Multifamily,6812,6748,6828,6829,6831,6852
Bel-Air,Multifamily,162,162,162,170,170,170
Beverly Crest,Multifamily,26,26,24,26,26,26
Beverly Grove,Multifamily,7849,7831,7784,7775,7771,7870
Beverlywood,Multifamily,234,234,234,229,229,229
Boyle Heights,Multifamily,16403,16529,16801,16823,17020,16961
Brentwood,Multifamily,4043,4042,4040,4000,4021,4043
Broadway-Manchester,Multifamily,4441,4493,4561,4584,4631,4703
Canoga Park,Multifamily,3964,3967,3990,3988,4019,4045
Carthay,Multifamily,1371,1371,1371,1371,1367,1367
Central-Alameda,Multifamily,6421,6146,6179,6199,6220,6285
Century City,Multifamily,698,691,693,684,716,738
Chatsworth,Multifamily,542,590,590,595,595,1085
Chesterfield Square,Multifamily,967,965,966,966,968,981
Cheviot Hills,Multifamily,510,510,512,512,534,534
Chinatown,Multifamily,2096,2437,2438,2438,2446,2353
Cypress Park,Multifamily,1613,1611,1612,1663,1675,1681
Del Rey,Multifamily,3697,3701,3695,3720,3821,3841
Downtown,Multifamily,7089,7245,7543,7900,8413,8859
Eagle Rock,Multifamily,4195,4192,4185,4246,4252,4249
East Hollywood,Multifamily,20668,20806,20756,20826,20913,20879
Echo Park,Multifamily,10240,10318,10219,10195,10199,10189
El Sereno,Multifamily,4712,4735,4734,4743,4760,4769
Elysian Park,Multifamily,578,579,578,576,573,574
Elysian Valley,Multifamily,1096,1096,1096,1102,1102,1117
Encino,Multifamily,368,368,420,470,470,474
Exposition Park,Multifamily,7707,7739,7742,7795,7816,7781
Fairfax,Multifamily,4174,4171,4166,4149,4125,4120
Florence,Multifamily,8114,8183,8233,8303,8369,8504
Glassell Park,Multifamily,3699,3699,3812,3815,3819,3821
Gramercy Park,Multifamily,865,869,869,934,939,945
Granada Hills,Multifamily,958,956,982,982,983,989
Green Meadows,Multifamily,3660,3695,3708,3754,3804,3852
Hancock Park,Multifamily,2177,2173,2160,2160,2158,2159
Harbor City,Multifamily,3051,3051,3053,3055,3058,3072
Harbor Gateway,Multifamily,6358,6370,6402,6416,6441,6523
Harvard Heights,Multifamily,4599,4607,4614,4616,4596,4585
Harvard Park,Multifamily,1437,1437,1457,1459,1464,1468
Highland Park,Multifamily,9325,9323,9317,9364,9382,9533
Historic South-Central,Multifamily,8844,9817,9830,9938,9955,10092
Hollywood,Multifamily,26116,26394,26309,26272,26334,26590
Hollywood Hills,Multifamily,4862,4843,4841,4818,4827,4827
Hollywood Hills West,Multifamily,994,996,996,998,1004,1006
Hyde Park,Multifamily,6282,6305,6318,6325,6342,6343
Jefferson Park,Multifamily,5501,5500,5555,5556,5559,5565
Koreatown,Multifamily,30805,30944,30934,30916,30978,31160
Lake Balboa,Multifamily,921,917,950,950,965,996
Lake View Terrace,Multifamily,240,238,238,258,261,263
Larchmont,Multifamily,2254,2259,2297,2299,2314,2307
Leimert Park,Multifamily,2769,2770,2769,2771,2771,2768
Lincoln Heights,Multifamily,5903,5910,5914,5917,5926,5926
Los Feliz,Multifamily,10183,10200,10196,10253,10257,10254
Manchester Square,Multifamily,1868,1875,1879,1879,1883,1886
Mar Vista,Multifamily,7161,7186,7182,7189,7185,7195
Mid-City,Multifamily,12355,12343,12362,12387,12429,12442
Mid-Wilshire,Multifamily,17846,17846,17836,17841,17844,17852
Mission Hills,Multifamily,352,353,354,356,356,373
Montecito Heights,Multifamily,1792,1790,1785,1789,1788,1790
Mount Washington,Multifamily,1215,1217,1217,1219,1221,1225
None,Multifamily,52,46,26,50,81,25
North Hills,Multifamily,3021,3022,3027,3046,3041,3214
North Hollywood,Multifamily,15301,15401,15461,15579,15662,15754
Northridge,Multifamily,2532,2532,2532,2574,2581,2582
