coo_number,coo_date,year,period,quarter,month,quarteryear,status,permit,permit_type,permit_subtype,permit_date,zip,rdus,50+units,project_type,stories,tract,coord
96257,1/10/2013,2013,2013-17,Q1,1,Q1 2013,CofO Issued,11014-10000-00831,Bldg-Addition,1 or 2 Family Dwelling,1/10/2013,90037,1,No,1 unit,2,2327,"(33.99247, -118.2854)"
88294,1/15/2013,2013,2013-17,Q1,1,Q1 2013,CofO Issued,10014-10000-01988,Bldg-Addition,1 or 2 Family Dwelling,1/15/2013,90019,1,No,1 unit,0,2181.2,"(34.04324, -118.31875)"
98957,1/17/2013,2013,2013-17,Q1,1,Q1 2013,CofO Issued,11014-30000-03257,Bldg-Addition,1 or 2 Family Dwelling,1/17/2013,91356,1,No,1 unit,2,1394,"(34.16382, -118.55276)"
82144,1/24/2013,2013,2013-17,Q1,1,Q1 2013,CofO Issued,08014-40000-01044,Bldg-Addition,1 or 2 Family Dwelling,1/24/2013,90037,1,No,1 unit,2,2312.2,"(34.01227, -118.29453)"
90843,1/24/2013,2013,2013-17,Q1,1,Q1 2013,CofO Issued,10014-20000-04070,Bldg-Addition,1 or 2 Family Dwelling,1/24/2013,91342,1,No,1 unit,0,1070.1,"(34.30435, -118.45029)"
97786,2/5/2013,2013,2013-17,Q1,2,Q1 2013,CofO Issued,11014-20000-02581,Bldg-Addition,1 or 2 Family Dwelling,2/5/2013,91405,1,No,1 unit,1,1278.02,"(34.19212, -118.45721)"
98304,2/7/2013,2013,2013-17,Q1,2,Q1 2013,CofO Issued,11014-20000-01060,Bldg-Addition,1 or 2 Family Dwelling,2/7/2013,91405,1,No,1 unit,1,1281,"(34.1918, -118.44195)"
55747,2/14/2013,2013,2013-17,Q1,2,Q1 2013,CofO Issued,07014-70000-04440,Bldg-Addition,1 or 2 Family Dwelling,2/14/2013,90001,1,No,1 unit,1,2398,"(33.96454, -118.25721)"
17437,2/15/2013,2013,2013-17,Q1,2,Q1 2013,CofO Issued,05014-10000-02837,Bldg-Addition,1 or 2 Family Dwelling,2/15/2013,90003,1,No,1 unit,2,2406,"(33.94386, -118.26646)"
117,2/20/2013,2013,2013-17,Q1,2,Q1 2013,CofO Issued,04014-20000-04906,Bldg-Addition,1 or 2 Family Dwelling,2/20/2013,91342,1,No,1 unit,1,1064.03,"(34.30691, -118.43759)"
15911,2/20/2013,2013,2013-17,Q1,2,Q1 2013,CofO Issued,05014-20000-05877,Bldg-Addition,1 or 2 Family Dwelling,2/20/2013,91331,1,No,1 unit,1,1191,"(34.25161, -118.43499)"
106032,3/1/2013,2013,2013-17,Q1,3,Q1 2013,CofO Issued,12014-10000-02243,Bldg-Addition,1 or 2 Family Dwelling,3/1/2013,90006,1,No,1 unit,1,2133.1,"(34.04951, -118.29701)"
66097,3/5/2013,2013,2013-17,Q1,3,Q1 2013,CofO Issued,05014-30000-03543,Bldg-Addition,1 or 2 Family Dwelling,3/5/2013,90019,1,No,1 unit,2,2171,"(34.04929, -118.35634)"
70136,3/5/2013,2013,2013-17,Q1,3,Q1 2013,CofO Issued,08014-20000-03673,Bldg-Addition,1 or 2 Family Dwelling,3/5/2013,91340,1,No,1 unit,0,1095,"(34.27268, -118.44491)"
87868,3/5/2013,2013,2013-17,Q1,3,Q1 2013,CofO Issued,09014-20000-02402,Bldg-Addition,Apartment,3/5/2013,90027,1,No,1 unit,2,1905.2,"(34.0987, -118.30311)"
104036,3/5/2013,2013,2013-17,Q1,3,Q1 2013,CofO Issued,12014-10000-00663,Bldg-Addition,1 or 2 Family Dwelling,3/5/2013,90044,1,No,1 unit,2,2371,"(33.98445, -118.2889)"
103070,3/8/2013,2013,2013-17,Q1,3,Q1 2013,CofO Issued,12014-20000-00750,Bldg-Addition,1 or 2 Family Dwelling,3/8/2013,91406,1,No,1 unit,0,1274,"(34.20647, -118.47991)"
106613,3/19/2013,2013,2013-17,Q1,3,Q1 2013,CofO Corrected,12014-10000-01523,Bldg-Addition,1 or 2 Family Dwelling,3/28/2013,91423,1,No,1 unit,2,1411,"(34.14762, -118.43257)"
104567,3/19/2013,2013,2013-17,Q1,3,Q1 2013,CofO Issued,12014-10000-01947,Bldg-Addition,1 or 2 Family Dwelling,3/19/2013,90003,1,No,1 unit,1,2397,"(33.96202, -118.27275)"
51316,3/20/2013,2013,2013-17,Q1,3,Q1 2013,CofO Issued,07014-10000-01884,Bldg-Addition,1 or 2 Family Dwelling,3/20/2013,90046,1,No,1 unit,0,1920,"(34.08654, -118.35518)"
77776,3/22/2013,2013,2013-17,Q1,3,Q1 2013,CofO Issued,07016-10000-13676,Bldg-Addition,1 or 2 Family Dwelling,3/22/2013,90007,1,No,1 unit,1,2226,"(34.02296, -118.29641)"
91469,3/26/2013,2013,2013-17,Q1,3,Q1 2013,CofO Issued,00014-70000-03041,Bldg-Addition,1 or 2 Family Dwelling,3/26/2013,90003,1,No,1 unit,1,2408,"(33.94024, -118.26752)"
108098,4/1/2013,2013,2013-17,Q2,4,Q2 2013,CofO Issued,12014-10000-03516,Bldg-Addition,1 or 2 Family Dwelling,4/1/2013,90002,1,No,1 unit,2,2400.1,"(33.95908, -118.26338)"
89340,4/2/2013,2013,2013-17,Q2,4,Q2 2013,CofO Issued,10014-20000-02646,Bldg-Addition,1 or 2 Family Dwelling,4/2/2013,91335,1,No,1 unit,1,1314,"(34.21277, -118.52995)"
95267,4/3/2013,2013,2013-17,Q2,4,Q2 2013,CofO Issued,11016-30000-04862,Bldg-Addition,1 or 2 Family Dwelling,4/3/2013,90038,1,No,1 unit,1,1909.01,"(34.09289, -118.31235)"
109570,4/8/2013,2013,2013-17,Q2,4,Q2 2013,CofO Issued,12014-20000-02321,Bldg-Addition,1 or 2 Family Dwelling,4/8/2013,90041,1,No,1 unit,0,1813,"(34.14479, -118.22828)"
19506,4/15/2013,2013,2013-17,Q2,4,Q2 2013,CofO Issued,05014-10000-07543,Bldg-Addition,1 or 2 Family Dwelling,4/15/2013,90031,1,No,1 unit,1,1999,"(34.06692, -118.2093)"
100171,4/17/2013,2013,2013-17,Q2,4,Q2 2013,CofO Issued,11014-10000-01824,Bldg-Addition,1 or 2 Family Dwelling,4/17/2013,90011,1,No,1 unit,2,2294.2,"(33.99146, -118.25728)"
100885,4/23/2013,2013,2013-17,Q2,4,Q2 2013,CofO Issued,11014-10000-03114,Bldg-Addition,1 or 2 Family Dwelling,4/23/2013,90003,1,No,1 unit,2,2397,"(33.96517, -118.27672)"
109083,4/23/2013,2013,2013-17,Q2,4,Q2 2013,CofO Issued,12014-70000-03021,Bldg-Addition,1 or 2 Family Dwelling,4/23/2013,90037,1,No,1 unit,1,2327,
99252,4/24/2013,2013,2013-17,Q2,4,Q2 2013,CofO Issued,11014-10000-02030,Bldg-Addition,1 or 2 Family Dwelling,4/24/2013,90003,1,No,1 unit,2,2393.2,"(33.9768, -118.27313)"
91091,4/26/2013,2013,2013-17,Q2,4,Q2 2013,CofO Issued,10014-10000-02526,Bldg-Addition,Apartment,4/26/2013,90018,1,No,1 unit,2,2222,"(34.03203, -118.30652)"
32598,4/29/2013,2013,2013-17,Q2,4,Q2 2013,CofO Issued,06014-10000-04428,Bldg-Addition,1 or 2 Family Dwelling,4/29/2013,90003,1,No,1 unit,0,2405,"(33.94658, -118.27298)"
105576,5/2/2013,2013,2013-17,Q2,5,Q2 2013,CofO Issued,12014-20000-00976,Bldg-Addition,1 or 2 Family Dwelling,5/2/2013,90011,1,No,1 unit,2,2294.1,"(33.99167, -118.26784)"
55314,5/30/2013,2013,2013-17,Q2,5,Q2 2013,CofO Issued,07010-20000-01412,Bldg-Addition,1 or 2 Family Dwelling,5/30/2013,91352,1,No,1 unit,1,1221.1,"(34.21506, -118.36802)"
89112,6/4/2013,2013,2013-17,Q2,6,Q2 2013,CofO Issued,10014-20000-02845,Bldg-Addition,1 or 2 Family Dwelling,6/4/2013,91042,1,No,1 unit,2,1012.1,"(34.25466, -118.29329)"
107074,6/10/2013,2013,2013-17,Q2,6,Q2 2013,CofO Issued,12014-10000-03223,Bldg-Addition,1 or 2 Family Dwelling,6/10/2013,90023,1,No,1 unit,1,2046,"(34.03614, -118.21478)"
101077,6/25/2013,2013,2013-17,Q2,6,Q2 2013,CofO Issued,11014-30000-01256,Bldg-Addition,Apartment,6/25/2013,90066,1,No,1 unit,2,2723.01,"(34.00569, -118.41964)"
66042,7/2/2013,2013,2013-17,Q3,7,Q3 2013,CofO Issued,07014-10000-05893,Bldg-Addition,1 or 2 Family Dwelling,7/2/2013,90038,1,No,1 unit,2,1909.02,
92018,7/2/2013,2013,2013-17,Q3,7,Q3 2013,CofO Issued,10014-20000-03348,Bldg-Addition,1 or 2 Family Dwelling,7/2/2013,91402,1,No,1 unit,1,1201.02,"(34.22483, -118.4587)"
95924,7/8/2013,2013,2013-17,Q3,7,Q3 2013,CofO Issued,10010-20001-02286,Bldg-Addition,Apartment,7/8/2013,90043,1,No,1 unit,2,2349,"(33.98273, -118.32674)"
62147,7/12/2013,2013,2013-17,Q3,7,Q3 2013,CofO Issued,07014-70000-07897,Bldg-Addition,1 or 2 Family Dwelling,7/12/2013,90037,1,No,1 unit,1,2327,"(33.9922, -118.28492)"
107481,7/12/2013,2013,2013-17,Q3,7,Q3 2013,CofO Issued,12014-20000-02785,Bldg-Addition,1 or 2 Family Dwelling,7/12/2013,91342,1,No,1 unit,1,1066.05,"(34.29129, -118.45223)"
109708,7/25/2013,2013,2013-17,Q3,7,Q3 2013,CofO Issued,12014-20000-04467,Bldg-Addition,1 or 2 Family Dwelling,7/25/2013,90037,1,No,1 unit,1,2316,"(34.0083, -118.29759)"
50137,7/29/2013,2013,2013-17,Q3,7,Q3 2013,CofO Issued,06010-10000-03616,Bldg-Addition,1 or 2 Family Dwelling,7/29/2013,90011,1,No,1 unit,1,2292,"(33.99673, -118.25944)"
71492,7/31/2013,2013,2013-17,Q3,7,Q3 2013,CofO Issued,01014-10000-07273,Bldg-Addition,Apartment,7/31/2013,90032,1,No,1 unit,2,2014.02,"(34.06615, -118.19458)"
109643,8/1/2013,2013,2013-17,Q3,8,Q3 2013,CofO Issued,12014-10000-04003,Bldg-Addition,1 or 2 Family Dwelling,8/1/2013,90003,1,No,1 unit,2,2398.01,"(33.96631, -118.26781)"
110362,8/5/2013,2013,2013-17,Q3,8,Q3 2013,CofO Issued,12014-20000-03925,Bldg-Addition,1 or 2 Family Dwelling,8/5/2013,91042,1,No,1 unit,1,1013,"(34.25124, -118.27265)"
107862,8/6/2013,2013,2013-17,Q3,8,Q3 2013,CofO Issued,12014-10000-02183,Bldg-Addition,1 or 2 Family Dwelling,8/6/2013,90019,1,No,1 unit,1,2161,"(34.05808, -118.33676)"
