permit,rdus,size,50+units,in_count,date,year,period,month,quarter,quarteryear,zip,tract,coord,lat,long,number,direction,street,suffix,address
17010-30000-04563,1,1 unit,No,Yes,3/8/2018,2018,After,3,Q1,Q1 2018,90025,2675.02,,34.034718,-118.46147,1743,S,CARMELINA,AVE,1743 S CARMELINA AVE
14010-30000-01766,1,1 unit,No,Yes,8/21/2014,2014,Before,8,Q3,Q3 2014,90025,2675.02,"34.03488, -118.46024",34.03488,-118.46024,1751,S,WELLESLEY,AVE,1751 S WELLESLEY AVE
14010-20000-03041,1,1 unit,No,Yes,1/13/2015,2015,Before,1,Q1,Q1 2015,90025,2675.02,"34.03501, -118.4599",34.03501,-118.4599,1752,S,WELLESLEY,AVE,1752 S WELLESLEY AVE
16010-30000-02740,1,1 unit,No,Yes,12/30/2016,2016,After,12,Q4,Q4 2016,90025,2675.02,"34.03564, -118.46275",34.03564,-118.46275,1643,S,CARMELINA,AVE,1643 S CARMELINA AVE
15010-10000-03205,1,1 unit,No,Yes,11/23/2015,2015,Before,11,Q4,Q4 2015,90025,2675.02,"34.03565, -118.46235",34.03565,-118.46235,1652,S,CARMELINA,AVE,1652 S CARMELINA AVE
16010-20000-00871,1,1 unit,No,Yes,5/27/2016,2016,After,5,Q2,Q2 2016,90025,2675.02,"34.03619, -118.4634",34.03619,-118.4634,1615,S,CARMELINA,AVE,1615 S CARMELINA AVE
17010-10000-02150,1,1 unit,No,Yes,7/12/2017,2017,After,7,Q3,Q3 2017,90025,2676,"34.0362, -118.45408",34.0362,-118.45408,1915,S,WESTGATE,AVE,1915 S WESTGATE AVE
14010-30000-02888,2,2-4 units,No,Yes,2/26/2016,2016,Before,2,Q1,Q1 2016,90025,2677.00,"34.03632, -118.44659",34.03632,-118.44659,2120,S,FEDERAL,AVE,2120 S FEDERAL AVE
15010-20000-01396,1,1 unit,No,Yes,8/4/2015,2015,Before,8,Q3,Q3 2015,90025,2675.02,"34.03637, -118.45985",34.03637,-118.45985,1716,S,AMHERST,AVE,1716 S AMHERST AVE
14010-30000-02887,2,2-4 units,No,Yes,2/26/2016,2016,Before,2,Q1,Q1 2016,90025,2677.00,"34.03643, -118.44668",34.03643,-118.44668,2116,S,FEDERAL,AVE,2116 S FEDERAL AVE
16010-30000-01227,1,1 unit,No,Yes,9/21/2016,2016,After,9,Q3,Q3 2016,90025,2676,"34.03647, -118.44741",34.03647,-118.44741,11608,W,MISSISSIPPI,AVE,11608 W MISSISSIPPI AVE
14010-20000-00494,1,1 unit,No,Yes,5/1/2014,2014,Exclude,5,Q2,Q2 2014,90025,2677,"34.03656, -118.44679",34.03656,-118.44679,2108,S,FEDERAL,AVE,2108 S FEDERAL AVE
16010-30000-01226,1,1 unit,No,Yes,9/21/2016,2016,After,9,Q3,Q3 2016,90025,2676,"34.03656, -118.44725",34.03656,-118.44725,11600,W,MISSISSIPPI,AVE,11600 W MISSISSIPPI AVE
14010-20000-00493,1,1 unit,No,Yes,5/1/2014,2014,Exclude,5,Q2,Q2 2014,90025,2677,"34.03663, -118.44685",34.03663,-118.44685,2106,S,FEDERAL,AVE,2106 S FEDERAL AVE
16010-10000-00742,1,1 unit,No,Yes,8/5/2016,2016,After,8,Q3,Q3 2016,90025,2675.02,"34.03675, -118.46411",34.03675,-118.46411,1557,S,CARMELINA,AVE,1557 S CARMELINA AVE
16010-10000-00743,1,1 unit,No,Yes,8/5/2016,2016,After,8,Q3,Q3 2016,90025,2675.02,"34.03681, -118.46419",34.03681,-118.46419,1555,S,CARMELINA,AVE,1555 S CARMELINA AVE
16010-30000-01022,1,1 unit,No,Yes,6/14/2017,2017,After,6,Q2,Q2 2017,90025,2676,"34.03704, -118.44904",34.03704,-118.44904,2019,S,BARRY,AVE,2019 S BARRY AVE
16010-10000-00444,1,1 unit,No,Yes,8/5/2016,2016,After,8,Q3,Q3 2016,90025,2675.02,"34.03708, -118.46404",34.03708,-118.46404,1548,S,CARMELINA,AVE,1548 S CARMELINA AVE
15010-20000-00860,2,2-4 units,No,Yes,6/18/2015,2015,Before,6,Q2,Q2 2015,90025,2676.00,"34.03712, -118.45084",34.03712,-118.45084,1947,S,BARRINGTON,AVE,1947 S BARRINGTON AVE
16010-30000-01019,1,1 unit,No,Yes,12/9/2016,2016,After,12,Q4,Q4 2016,90025,2676,"34.03718, -118.44916",34.03718,-118.44916,2015,S,BARRY,AVE,2015 S BARRY AVE
16010-30000-01020,1,1 unit,No,Yes,12/9/2016,2016,After,12,Q4,Q4 2016,90025,2676,"34.0372, -118.44918",34.0372,-118.44918,2011,S,BARRY,AVE,2011 S BARRY AVE
16010-10000-00799,77,50-99 units,Yes,Yes,9/8/2017,2017,After,9,Q3,Q3 2017,90025,2677.00,,34.037266,-118.444786,2140,S,BUTLER,AVE,2140 S BUTLER AVE
16010-30000-04061,1,1 unit,No,Yes,5/1/2017,2017,After,5,Q2,Q2 2017,90025,2675.02,"34.03728, -118.46134",34.03728,-118.46134,1633,S,AMHERST,AVE,1633 S AMHERST AVE
16010-30000-01021,1,1 unit,No,Yes,6/14/2017,2017,After,6,Q2,Q2 2017,90025,2676,,34.0373,-118.44904,2017,S,BARRY,AVE,2017 S BARRY AVE
16010-10000-00437,1,1 unit,No,Yes,8/5/2016,2016,After,8,Q3,Q3 2016,90025,2675.02,,34.037334,-118.464516,1550,S,CARMELINA,AVE,1550 S CARMELINA AVE
18010-30000-01146,1,1 unit,No,Yes,10/2/2018,2018,Exclude,10,Q4,Q4 2018,90025,2677,"34.03743, -118.44573",34.03743,-118.44573,11516,W,MISSISSIPPI,AVE,11516 W MISSISSIPPI AVE
15010-10000-02913,4,2-4 units,No,Yes,3/30/2016,2016,Before,3,Q1,Q1 2016,90025,2675.02,"34.03743, -118.45904",34.03743,-118.45904,11979,W,WALNUT,LANE,11979 W WALNUT LANE
15010-30000-02616,1,1 unit,No,Yes,4/8/2016,2016,Before,4,Q2,Q2 2016,90025,2675.02,,34.03749,-118.464714,1537,S,CARMELINA,AVE,1537 S CARMELINA AVE
18010-30000-01145,1,1 unit,No,Yes,10/2/2018,2018,Exclude,10,Q4,Q4 2018,90025,2677,"34.03754, -118.44563",34.03754,-118.44563,11512,W,MISSISSIPPI,AVE,11512 W MISSISSIPPI AVE
17010-30000-03974,1,1 unit,No,Yes,10/02/2018,2018,Exclude,10,Q4,Q4 2018,90025,2677,,34.037636,-118.445656,11518,W,MISSISSIPPI,AVE,11518 W MISSISSIPPI AVE
14010-20000-00513,1,1 unit,No,Yes,4/29/2014,2014,Exclude,4,Q2,Q2 2014,90025,2675.02,"34.03764, -118.46174",34.03764,-118.46174,1615,S,AMHERST,AVE,1615 S AMHERST AVE
16010-30000-06406,2,2-4 units,No,Yes,8/7/2017,2017,After,8,Q3,Q3 2017,90025,2677.00,"34.03765, -118.44586",34.03765,-118.44586,11517,W,MISSISSIPPI,AVE,11517 W MISSISSIPPI AVE
17010-30000-03972,1,1 unit,No,Yes,10/02/2018,2018,Exclude,10,Q4,Q4 2018,90025,2677,,34.037674,-118.44559,11514,W,MISSISSIPPI,AVE,11514 W MISSISSIPPI AVE
13010-20000-04571,1,1 unit,No,Yes,4/8/2014,2014,Exclude,4,Q2,Q2 2014,90025,2676,"34.0377, -118.4482",34.0377,-118.4482,2013,S,FEDERAL,AVE,2013 S FEDERAL AVE
12010-10000-02557,1,1 unit,No,Yes,10/21/2013,2013,Exclude,10,Q4,Q4 2013,90025,2675.02,"34.03776, -118.46484",34.03776,-118.46484,1514,S,CARMELINA,AVE,1514 S CARMELINA AVE
13010-20000-04572,1,1 unit,No,Yes,4/8/2014,2014,Exclude,4,Q2,Q2 2014,90025,2676,"34.03777, -118.44824",34.03777,-118.44824,2011,S,FEDERAL,AVE,2011 S FEDERAL AVE
14014-10000-03981,2,2-4 units,No,Yes,7/27/2015,2015,Before,7,Q3,Q3 2015,90025,2675.02,"34.03778, -118.46168",34.03778,-118.46168,1616,S,AMHERST,AVE,1616 S AMHERST AVE
12010-10000-02556,1,1 unit,No,Yes,10/21/2013,2013,Exclude,10,Q4,Q4 2013,90025,2675.02,"34.03783, -118.46492",34.03783,-118.46492,1512,S,CARMELINA,AVE,1512 S CARMELINA AVE
12010-10000-02553,1,1 unit,No,Yes,10/21/2013,2013,Exclude,10,Q4,Q4 2013,90025,2675.02,"34.03785, -118.46495",34.03785,-118.46495,1510,S,CARMELINA,AVE,1510 S CARMELINA AVE
16010-30000-00359,2,2-4 units,No,Yes,5/3/2016,2016,Before,5,Q2,Q2 2016,90025,2675.02,"34.0379, -118.4633",34.0379,-118.4633,1546,S,WELLESLEY,AVE,1546 S WELLESLEY AVE
12010-10000-02554,1,1 unit,No,Yes,10/21/2013,2013,Exclude,10,Q4,Q4 2013,90025,2675.02,"34.03793, -118.46503",34.03793,-118.46503,1508,S,CARMELINA,AVE,1508 S CARMELINA AVE
15010-30000-01240,1,1 unit,No,Yes,11/23/2015,2015,Before,11,Q4,Q4 2015,90025,2677,"34.03811, -118.44536",34.03811,-118.44536,2050,S,BUTLER,AVE,2050 S BUTLER AVE
14010-10000-01992,1,1 unit,No,Yes,8/24/2015,2015,Before,8,Q3,Q3 2015,90025,2676,"34.03818, -118.45251",34.03818,-118.45251,1856,S,STONER,AVE,1856 S STONER AVE
14010-10000-01991,1,1 unit,No,Yes,8/24/2015,2015,Before,8,Q3,Q3 2015,90025,2676,"34.03824, -118.4524",34.03824,-118.4524,11737,W,MISSOURI,AVE,11737 W MISSOURI AVE
15010-30000-01241,1,1 unit,No,Yes,11/23/2015,2015,Before,11,Q4,Q4 2015,90025,2677,"34.03826, -118.44512",34.03826,-118.44512,2052,S,BUTLER,AVE,2052 S BUTLER AVE
16010-10000-01284,3,2-4 units,No,Yes,10/5/2017,2017,After,10,Q4,Q4 2017,90025,2675.02,"34.03827, -118.46088",34.03827,-118.46088,1619,S,BUNDY,DR,1619 S BUNDY DR
14010-10000-01990,1,1 unit,No,Yes,8/24/2015,2015,Before,8,Q3,Q3 2015,90025,2676,"34.03831, -118.45227",34.03831,-118.45227,11735,W,MISSOURI,AVE,11735 W MISSOURI AVE
14010-10000-01988,1,1 unit,No,Yes,8/24/2015,2015,Before,8,Q3,Q3 2015,90025,2676,"34.03834, -118.45223",34.03834,-118.45223,11733,W,MISSOURI,AVE,11733 W MISSOURI AVE
13010-10000-01135,1,1 unit,No,Yes,1/27/2014,2014,Exclude,1,Q1,Q1 2014,90025,2675.01,"34.03858, -118.45719",34.03858,-118.45719,1724,S,ARMACOST,AVE,1724 S ARMACOST AVE
13010-10000-01133,1,1 unit,No,Yes,1/27/2014,2014,Exclude,1,Q1,Q1 2014,90025,2675.01,"34.03858, -118.45719",34.03858,-118.45719,1724,S,ARMACOST,AVE,1724 S ARMACOST AVE
13010-10000-01134,1,1 unit,No,Yes,1/27/2014,2014,Exclude,1,Q1,Q1 2014,90025,2675.01,"34.03858, -118.45719",34.03858,-118.45719,1724,S,ARMACOST,AVE,1724 S ARMACOST AVE
18010-30000-00479,1,1 unit,No,Yes,7/16/2018,2018,Exclude,7,Q3,Q3 2018,90025,2677,"34.03863, -118.44423",34.03863,-118.44423,11365,W,MISSISSIPPI,AVE,11365 W MISSISSIPPI AVE
18010-30000-01696,1,1 unit,No,Yes,9/14/2018,2018,Exclude,9,Q3,Q3 2018,90025,2677,"34.03867, -118.44473",34.03867,-118.44473,2043,S,PURDUE,AVE,2043 S PURDUE AVE
16010-30000-05174,1,1 unit,No,Yes,3/16/2018,2018,After,3,Q1,Q1 2018,90025,2676,,34.03867,-118.453094,1850,S,STONER,AVE,1850 S STONER AVE
13010-20000-03500,1,1 unit,No,Yes,3/3/2014,2014,Exclude,3,Q1,Q1 2014,90025,2677,"34.03869, -118.44862",34.03869,-118.44862,1944,S,FEDERAL,AVE,1944 S FEDERAL AVE
18010-30000-00481,1,1 unit,No,Yes,7/16/2018,2018,Exclude,7,Q3,Q3 2018,90025,2677.00,,34.038784,-118.44376,11357,W,MISSISSIPPI,AVE,11357 W MISSISSIPPI AVE
14010-10000-00431,2,2-4 units,No,Yes,11/21/2014,2014,Before,11,Q4,Q4 2014,90025,2676.00,"34.03881, -118.45158",34.03881,-118.45158,1850,S,BARRINGTON,AVE,1850 S BARRINGTON AVE
13010-20000-03556,2,2-4 units,No,Yes,9/15/2014,2014,Before,9,Q3,Q3 2014,90025,2675.01,"34.03891, -118.45849",34.03891,-118.45849,11921,W,IOWA,AVE,11921 W IOWA AVE
14010-30000-02823,1,1 unit,No,Yes,1/10/2017,2017,After,1,Q1,Q1 2017,90025,2677,"34.03897, -118.44736",34.03897,-118.44736,11517,W,LA GRANGE,AVE,11517 W LA GRANGE AVE
17010-10000-00066,50,50-99 units,Yes,Yes,2/1/2018,2018,After,2,Q1,Q1 2018,90025,2674.02,"34.03899, -118.4676",34.03899,-118.4676,12431,W,ROCHESTER,AVE,12431 W ROCHESTER AVE
14010-30000-02822,1,1 unit,No,Yes,1/10/2017,2017,After,1,Q1,Q1 2017,90025,2677,"34.03908, -118.44717",34.03908,-118.44717,11515,W,LA GRANGE,AVE,11515 W LA GRANGE AVE
18010-30000-00480,1,1 unit,No,Yes,7/16/2018,2018,Exclude,7,Q3,Q3 2018,90025,2677,,34.039116,-118.44494,2050,S,PURDUE,AVE,2050 S PURDUE AVE
12010-10000-02240,34,20-49 units,No,Yes,4/22/2013,2013,Exclude,4,Q2,Q2 2013,90025,2675.02,,34.039185,-118.46073,12000,W,IDAHO,AVE,12000 W IDAHO AVE
18010-30000-01697,1,1 unit,No,Yes,9/14/2018,2018,Exclude,9,Q3,Q3 2018,90025,2677,,34.039185,-118.445015,2045,S,PURDUE,AVE,2045 S PURDUE AVE
