permit,rdus,size,50+units,in_count,date,year,period,month,quarter,quarteryear,zip,tract,coord,lat,long,number,direction,street,suffix,address
13010-10000-02994,2,2-4 units,No,Yes,1/27/2015,2015,Before,1,Q1,Q1 2015,90007,2226.00,"34.01888, -118.29606",34.01888,-118.29606,1250,W,37TH,DR,1250 W 37TH DR
15014-10001-05455,3,2-4 units,No,Yes,3/23/2018,2018,After,3,Q1,Q1 2018,90007,2226.00,"34.01892, -118.29505",34.01892,-118.29505,1212,W,37TH,DR,1212 W 37TH DR
15010-70000-00191,2,2-4 units,No,Yes,5/21/2015,2015,Before,5,Q2,Q2 2015,90007,2226.00,,34.019028,-118.296295,1256,W,37TH,DR,1256 W 37TH DR
17010-70000-03886,2,2-4 units,No,Yes,12/29/2017,2017,After,12,Q4,Q4 2017,90007,2226.00,"34.01913, -118.29318",34.01913,-118.29318,1151,W,37TH,DR,1151 W 37TH DR
17010-70000-03885,1,1 unit,No,Yes,12/29/2017,2017,After,12,Q4,Q4 2017,90007,2226.00,"34.01914, -118.2933",34.01914,-118.2933,1153,W,37TH,DR,1153 W 37TH DR
12010-70000-02766,2,2-4 units,No,Yes,1/24/2013,2013,Exclude,1,Q1,Q1 2013,90007,2226.00,"34.01914, -118.29583",34.01914,-118.29583,1245,W,37TH,DR,1245 W 37TH DR
17010-10000-03426,1,1 unit,No,Yes,11/8/2017,2017,After,11,Q4,Q4 2017,90007,2226.00,"34.01915, -118.29814",34.01915,-118.29814,1321,W,37TH,DR,1321 W 37TH DR
17010-10000-03120,2,2-4 units,No,Yes,11/8/2017,2017,After,11,Q4,Q4 2017,90007,2226.00,"34.01915, -118.29825",34.01915,-118.29825,1323,W,37TH,DR,1323 W 37TH DR
15010-70000-02299,1,1 unit,No,Yes,1/25/2016,2016,Before,1,Q1,Q1 2016,90007,2226,"34.01915, -118.29966",34.01915,-118.29966,1373,W,37TH,DR,1373 W 37TH DR
15010-70000-00654,2,2-4 units,No,Yes,12/2/2015,2015,Before,12,Q4,Q4 2015,90007,2226.00,"34.01979, -118.29907",34.01979,-118.29907,1350,W,37TH,PL,1350 W 37TH PL
17010-20000-01845,1,1 unit,No,Yes,3/13/2018,2018,After,3,Q1,Q1 2018,90007,2226,"34.01985, -118.29413",34.01985,-118.29413,1182,W,37TH,PL,1182 W 37TH PL
17010-20000-01847,1,1 unit,No,Yes,3/13/2018,2018,After,3,Q1,Q1 2018,90007,2226,"34.01985, -118.29413",34.01985,-118.29413,1182,W,37TH,PL,1182 W 37TH PL
