"","neighborhood","total_homes","homes_after_1998","share_after_1998","homes_after_1968","share_after_1968","total_bldgs","avg_bldg_age","avg_bldg_size","sf_bldgs","sf_share","mf_share","five_plus_bldgs","ten_plus_bldgs","fifty_plus_bldgs","five_plus_share","ten_plus_share","fifty_plus_share","share_of_nhood_homes"
"1","Koreatown",46822,4731,0.101042245098458,16970,0.362436461492461,6715,60.9359704346705,6.97274758004468,4479,0.0956601597539618,0.904339840246038,40325,36992,14942,0.861240442527017,0.790055956601598,0.319123488958182,0.0334052969605475
"2","Hollywood",40557,5101,0.125773602584018,14368,0.354266834331928,6299,58.7889159743296,6.43864105413558,3625,0.089380378233104,0.910619621766896,34126,28838,12507,0.841433044850457,0.711048647582415,0.308380797396257,0.0289355138359943
"3","Westlake",39614,6152,0.15529863179684,15175,0.383071641338921,4628,63.5828788970059,8.55963699222126,2400,0.0605846417933054,0.939415358206695,34705,31911,13711,0.876079163931943,0.805548543444237,0.346115009845004,0.02826272764502
"4","Van Nuys",36430,2892,0.0793851221520725,16893,0.463711227010705,13050,50.8817077193754,2.79157088122605,11086,0.304309634916278,0.695690365083722,23326,19258,6988,0.640296458962394,0.528630249794126,0.19181992863025,0.0259910932525895
"5","Sherman Oaks",33228,2641,0.079481160467076,14042,0.422595401468641,18248,52.1535752979415,1.82091188075406,17066,0.513602985433971,0.486397014566029,15089,12859,3880,0.454104971710605,0.386992897556278,0.116768990008427,0.0237066167059304
"6","North Hollywood",31640,4979,0.15736409608091,13470,0.425726927939317,10797,50.8234116263548,2.93044364175234,8179,0.258501896333755,0.741498103666245,19610,14566,5548,0.619785082174463,0.460366624525917,0.175347661188369,0.0225736533217659
"7","San Pedro",30356,1193,0.0393003030702332,11295,0.372084596125972,18165,62.8608141989971,1.67112579135701,14652,0.482672288839109,0.517327711160891,7423,4812,1920,0.244531558835156,0.15851890894716,0.0632494399789169,0.0216575796534616
"8","Woodland Hills",28782,3102,0.107775693141547,14600,0.507261482871239,19885,46.8878774191307,1.44742268041237,19578,0.680216802168022,0.319783197831978,8700,8580,8268,0.302272253491766,0.29810298102981,0.287262872628726,0.0205346046114749
"9","Downtown",28355,14029,0.494762828425322,18133,0.639499206489155,7253,42.3017000671544,3.90941679305115,7072,0.249409275260095,0.750590724739905,21216,21161,19898,0.748227825780286,0.746288132604479,0.701745723858226,0.0202299601750528
"10","Mid-Wilshire",25753,3079,0.119558886343339,5669,0.220129693627927,5893,67.1591236206621,4.370100118785,3317,0.128800528093814,0.871199471906186,17803,14812,10868,0.691298101192094,0.57515629247078,0.42200908632004,0.0183735554360125
"11","East Hollywood",24438,1008,0.0412472379081758,5152,0.210819215975121,4134,72.071829358858,5.91146589259797,1384,0.0566331123659874,0.943366887634013,19225,14415,2717,0.786684671413373,0.58986005401424,0.11117931090924,0.0174353647243146
"12","Northridge",22361,2032,0.0908725012298198,10014,0.447833281159161,12997,47.9541325658782,1.7204739555282,12582,0.562676087831492,0.437323912168508,9444,8861,4970,0.422342471266938,0.396270292026296,0.222261973972541,0.0159535228169408
"13","Boyle Heights",22099,1198,0.0542105977646047,2719,0.12303724150414,8720,87.81420963998,2.53428899082569,4023,0.182044436399837,0.817955563600163,8123,5118,2446,0.367573193357165,0.231594189782343,0.110683741345762,0.0157665981276139
"14","Valley Glen",21618,1570,0.0726246646313257,5810,0.268757516884078,9742,56.0800824240154,2.21905152946007,8563,0.396105097603849,0.603894902396151,11916,9363,1631,0.551207327227311,0.433111296142104,0.0754463872698677,0.0154234272285062
"15","Reseda",21548,1205,0.0559216632634119,8315,0.385882680527195,14168,54.1162520883609,1.52089215132693,13736,0.63746055318359,0.36253944681641,7363,7004,4095,0.341702246148134,0.325041767217375,0.190040839056989,0.0153734855176173
"16","Palms",21489,1235,0.0574712643678161,9847,0.458234445530271,4587,50.810295697669,4.68476128188358,3096,0.144073712131788,0.855926287868212,17337,12774,3935,0.806784866675974,0.594443668853832,0.183116943552515,0.0153313917898681
"17","Venice",20978,2729,0.130088664314997,7924,0.377729049480408,10713,61.8472056222212,1.95818164846448,7984,0.380589188673849,0.619410811326151,7303,5565,1894,0.348126608828296,0.265277910191629,0.0902850605396129,0.0149668173003794
"18","Westwood",20886,1628,0.0779469501101216,11029,0.528057071722685,10775,51.4799291051926,1.93837587006961,10005,0.479029014650962,0.520970985349038,10005,8407,4181,0.479029014650962,0.402518433400364,0.20018194005554,0.0149011796232112
"19","Sylmar",20607,3357,0.16290580870578,10540,0.511476682680643,15968,46.4369813152148,1.29051853707415,15464,0.750424612995584,0.249575387004416,4313,4103,2460,0.209297811423303,0.199107099529286,0.11937691075848,0.0147021262326684
"20","Canoga Park",20058,2695,0.134360354970585,10696,0.533253564662479,7470,45.1702064014358,2.685140562249,6944,0.346196031508625,0.653803968491375,12854,12293,5724,0.640841559477515,0.612872669259149,0.285372419982052,0.0143104405286972
"21","Sawtelle",19987,3000,0.150097563416221,9361,0.468354430379747,7074,47.7661354980958,2.82541702007351,5574,0.278881272827338,0.721118727172662,13070,8286,2002,0.653925051283334,0.414569470155601,0.100165107319758,0.0142597853647957
"22","Studio City",19882,3178,0.159843074137411,9981,0.502011870033196,11180,48.3670841506966,1.7783542039356,10451,0.525651342923247,0.474348657076753,8638,7277,2606,0.434463333668645,0.366009455789156,0.13107333266271,0.0141848727984624
"23","Encino",19684,1315,0.0668055273318431,7463,0.379140418614103,14854,52.5649258280837,1.32516493873704,14685,0.746037390774233,0.253962609225767,4896,4780,3247,0.248729932940459,0.24283682178419,0.164956309693152,0.0140436091019482
"24","Sun Valley",19473,793,0.0407230524315719,5633,0.289272325784419,12825,57.8413187490371,1.51836257309942,12116,0.622194833872541,0.377805166127459,6179,5462,3038,0.317311148770092,0.280490936168028,0.156010886868998,0.0138930705162689
"25","Panorama City",18927,1268,0.0669942410313309,8768,0.463253553125165,8636,50.3528945281523,2.19163964798518,8021,0.423786125640619,0.576213874359381,10383,9749,3763,0.548581391662704,0.515084271147039,0.198816505521213,0.0135035251713357
"26","Mid-City",18807,515,0.0273834210666241,1038,0.0551922156643803,8598,76.6613657090743,2.18736915561759,5416,0.287977880576381,0.712022119423619,6938,2909,144,0.368905194874249,0.154676450257883,0.00765672356037646,0.013417910809812
"27","Los Feliz",18156,322,0.0177351839612249,3408,0.187706543291474,6145,70.3760424145358,2.95459723352319,4452,0.245208195637806,0.754791804362194,11119,8660,2324,0.612414628772857,0.476977307777043,0.128001762502754,0.0129534528985456
"28","Granada Hills",18140,631,0.0347850055126792,5337,0.294211686879824,14955,54.3361631753032,1.21297225008358,14700,0.810363836824697,0.189636163175303,3005,2904,1942,0.165656008820287,0.160088202866593,0.107056229327453,0.0129420376503424
