"","Year","name","Rent_W","HHs_Rent","Income_W","Income_HHs","Unemploy_Count","Labor_Force_Pop","Burden_Count","Renter_Households","Overcrowd_Count","Total_Households","Stability_Count","Pov_Pop_Above_One_Year","American.Indian.Native.Population","Asian.Population","Black.Population","Hispanic.Population","Native.Hawaiian.Other.Pacific.Islander.Population","Other.Race.Population","Population.of.Two.or.More.Races","White.Population","Total_Population","Weighted_Median_Rent","Weighted_Median_Income","Unemployment_Rate","Rent_Burden_Rate","Overcrowded_Rate","Stability_Rate","American.Indian.Native_Pct","Asian.Population_Pct","Black.Population_Pct","Hispanic.Population_Pct","Native.Hawaiian.Other.Pacific.Islander.Population_Pct","Other.Race.Population_Pct","Population.of.Two.or.More.Races_Pct","White.Population_Pct","ACS_Census_Period"
"1",2010,"Adams-Normandie",3327367,4058,143483287,5250,649,8787,2717,4058,1114,5250,15127,17367,7,1087,3149,12269,16,45,31,1149,17753,819.952439625431,27330.1499047619,0.0738591100489359,0.669541646131099,0.212190476190476,0.871019750100766,0.000394299555004788,0.0612290880414578,0.177378471244297,0.691094462907678,0.00090125612572523,0.00253478285360221,0.00174618374359263,0.064721455528643,"2006-10"
"2",2011,"Adams-Normandie",3667237,4225,157776230,5375,740,8835,2622,4225,1169,5375,15277,17505,5,1177,3595,11967,11,115,15,975,17860,867.985088757396,29353.7172093023,0.0837577815506508,0.620591715976331,0.217488372093023,0.872722079405884,0.000279955207166853,0.0659014557670773,0.201287793952968,0.670044792833147,0.000615901455767077,0.00643896976483763,0.00083986562150056,0.0545912653975364,"2007-11"
"3",2012,"Adams-Normandie",3831172,4258,155007754,5370,918,9149,2736,4258,1102,5370,15691,17993,5,1174,3983,11843,16,143,30,1141,18335,899.758572099577,28865.503538175,0.100338834845338,0.642555190230155,0.205214152700186,0.872061357194465,0.000272702481592582,0.0640305426779384,0.217234796836651,0.645923097900191,0.000872647941096264,0.00779929097354786,0.0016362148895555,0.0622307062994273,"2008-12"
"4",2013,"Adams-Normandie",3747261,4075,152372950,5250,965,8755,2601,4075,1069,5250,15263,17577,4,1291,3660,11561,0,134,45,1148,17843,919.573251533742,29023.419047619,0.110222729868646,0.638282208588957,0.203619047619048,0.868350685554987,0.000224177548618506,0.0723533038166228,0.205122456985933,0.647929159894637,0,0.00750994787871995,0.00252199742195819,0.0643389564535112,"2009-13"
"5",2014,"Adams-Normandie",4010484,4176,151870030,5304,993,8741,2686,4176,1006,5304,15261,17685,0,1422,3809,11466,8,193,60,984,17942,960.364942528736,28633.112745098,0.113602562635854,0.643199233716475,0.189668174962293,0.862934690415606,0,0.0792553784416453,0.212295173336306,0.639059190725672,0.000445881172667484,0.0107568832906031,0.00334410879500613,0.0548433842381005,"2010-14"
"6",2015,"Adams-Normandie",4245354,4453,156287350,5390,1149,8760,2771,4453,1055,5390,15065,17612,0,1412,3749,11475,8,182,60,981,17867,953.369413878284,28995.7977736549,0.131164383561644,0.62227711655064,0.195732838589981,0.855382693617988,0,0.0790283763362624,0.209828174847484,0.642245480494767,0.000447752840432082,0.0101863771198299,0.00335814630324061,0.054905692057984,"2011-15"
"7",2016,"Adams-Normandie",4211994,4287,162417459,5324,1178,8389,2630,4287,943,5324,15256,17338,0,1363,3782,11036,11,94,103,1143,17532,982.503848845346,30506.6602178813,0.140421981165812,0.613482621880103,0.177122464312547,0.879916945437767,0,0.0777435546429386,0.215719826602783,0.629477526808122,0.000627424138717773,0.0053616244581337,0.00587497148072097,0.0651950718685832,"2012-16"
"8",2017,"Adams-Normandie",0,4187,0,0,1195,8699,2522,4187,1054,5332,15314,17361,0,0,0,0,0,0,0,0,0,0,NA,0.137372111736981,0.60234057797946,0.197674418604651,0.88209204538909,NA,NA,NA,NA,NA,NA,NA,NA,"2013-17"
"9",2010,"Arleta",2387779,1670,390335909,6687,928,14873,1030,1670,791,6687,26648,29980,0,2806,210,25220,45,29,150,2001,30461,1429.80778443114,58372.3506804247,0.0623949438579977,0.616766467065868,0.118289217885449,0.888859239492995,0,0.0921177899609337,0.00689406125865861,0.827943928301763,0.00147729884114113,0.000952037030957618,0.00492432947047044,0.0656905551360756,"2006-10"
"10",2011,"Arleta",2519080,1729,412368850,6631,1130,14678,1079,1729,1045,6631,27526,29820,0,2574,198,25375,45,36,184,1897,30309,1456.95777906304,62188.0334791133,0.0769859653903802,0.62406015037594,0.157593123209169,0.923071763916834,0,0.0849252697218648,0.00653271305552806,0.837210069616286,0.00148470751262001,0.00118776601009601,0.00607080405160183,0.0625886700320037,"2007-11"
"11",2012,"Arleta",2913857,1962,420899018,6575,1484,15444,1117,1962,1151,6575,27654,29794,48,3182,178,24749,71,0,177,1971,30376,1485.14627930683,64015.0597718631,0.0960890960890961,0.569317023445464,0.175057034220532,0.92817345774317,0.00158019489070319,0.104753752962865,0.00585988938635765,0.814755069791941,0.00233737160916513,0,0.005826968659468,0.0648867526994996,"2008-12"
"12",2013,"Arleta",2829064,1792,410506324,6594,1901,15501,1112,1792,1241,6594,28289,30233,64,3094,250,25085,26,0,133,2043,30695,1578.71875,62254.5228996057,0.122637249209728,0.620535714285714,0.188201395207765,0.935699401316442,0.00208503013520117,0.100798175598632,0.00814464896562958,0.817234077211272,0.000847043492425476,0,0.00433295324971494,0.0665580713471249,"2009-13"
"13",2014,"Arleta",2744104,1784,432018299,6770,1961,16228,1109,1784,1260,6770,28532,30848,72,2550,271,26189,0,9,164,2080,31335,1538.17488789238,63813.6335302806,0.120840522553611,0.621636771300448,0.186115214180207,0.924922199170125,0.00229775011967449,0.0813786500718047,0.00864847614488591,0.835774692835487,0,0.000287218764959311,0.00523376416148077,0.0663794479017074,"2010-14"
"14",2015,"Arleta",2841159,1849,458324871,6863,1878,16653,1123,1849,1278,6863,28876,30805,75,2975,200,25550,0,12,299,2214,31325,1536.59221200649,66782.0007285444,0.112772473428211,0.607355327203894,0.18621594055078,0.93738029540659,0.00239425379090184,0.0949720670391061,0.00638467677573823,0.815642458100559,0,0.000383080606544294,0.00954509177972865,0.0706783719074222,"2011-15"
"15",2016,"Arleta",2927478,1867,470325552,6970,1656,16874,1134,1867,1221,6970,28398,30439,68,2909,338,25175,0,58,220,2099,30867,1568.01178361007,67478.5583931133,0.0981391489866066,0.607391537225495,0.175179340028694,0.932947862938993,0.00220299996760294,0.09424304273172,0.0109502057213205,0.815595943888295,0,0.00187902938413192,0.00712735283636246,0.0680014254705673,"2012-16"
"16",2017,"Arleta",0,1649,0,0,1309,17414,1074,1649,1228,7093,29091,31377,0,0,0,0,0,0,0,0,0,0,NA,0.0751694039278741,0.651303820497271,0.173128436486677,0.927144086432737,NA,NA,NA,NA,NA,NA,NA,NA,"2013-17"
"17",2010,"Arlington Heights",5178930,5672,224060590,6915,1032,10671,3344,5672,1856,6915,18266,19925,8,4072,4210,11078,7,27,85,975,20462,913.069464033851,32402.1099060014,0.0967107112735451,0.589562764456982,0.268402024584237,0.916737766624843,0.000390968624767862,0.199003030006842,0.205747238784088,0.541393803147297,0.00034209754667188,0.00131951910859154,0.00415404163815854,0.0476493011435832,"2006-10"
"18",2011,"Arlington Heights",5383612,5666,225783514,6970,1156,10706,3439,5666,1755,6970,18034,20229,24,4120,3615,11643,0,20,152,1181,20755,950.160960112955,32393.6175035868,0.107976835419391,0.606953759265796,0.251793400286944,0.891492411883929,0.00115634786798362,0.198506384003854,0.174174897615033,0.560973259455553,0,0.000963623223319682,0.00732353649722958,0.0569019513370272,"2007-11"
"19",2012,"Arlington Heights",5455041,5665,225105572,7013,1410,10942,3544,5665,1689,7013,18105,20280,22,4263,3684,11465,0,116,136,1120,20806,962.937511032657,32098.327677171,0.128861268506672,0.625595763459841,0.240838442891772,0.892751479289941,0.00105738729212727,0.204892819379025,0.177064308372585,0.551042968374507,0,0.0055753148130347,0.00653657598769586,0.0538306257810247,"2008-12"
"20",2013,"Arlington Heights",5611816,5747,238618925,7079,1664,12062,3647,5747,1930,7079,19141,21615,30,4301,3393,12882,0,102,149,1251,22108,976.477466504263,33707.9990111598,0.13795390482507,0.634591961023143,0.272637378160757,0.885542447374508,0.00135697485073277,0.194544961100054,0.153473855617876,0.58268500090465,0,0.00461371449249141,0.00673964175863941,0.0565858512755564,"2009-13"
"21",2014,"Arlington Heights",5632440,5785,256933746,7134,1699,12450,3613,5785,2073,7134,20078,22340,31,4619,3291,13689,0,93,199,881,22803,973.628349178911,36015.3835155593,0.136465863453815,0.624546240276577,0.290580319596299,0.898746642793196,0.00135947024514318,0.202561066526334,0.144323115379555,0.600315747927904,0,0.00407841073542955,0.00872692189624172,0.0386352672893917,"2010-14"
"22",2015,"Arlington Heights",5955793,5817,268255807,7149,1477,12502,3530,5817,1986,7149,19906,22375,32,4768,3230,13427,0,127,266,997,22847,1023.85989341585,37523.5427332494,0.118141097424412,0.606842014784253,0.277801091061687,0.889653631284916,0.00140062152580207,0.208692607344509,0.141375235260647,0.587692038342014,0,0.00555871668052698,0.0116426664332297,0.0436381144132709,"2011-15"
"23",2016,"Arlington Heights",6286073,5790,287042109,7157,1286,12661,3530,5790,1947,7157,21103,23041,27,5178,3120,13638,0,138,203,1174,23478,1085.67754749568,40106.4844208467,0.101571755785483,0.609671848013817,0.27204135811094,0.915889067314787,0.00115001277791975,0.2205468949655,0.132890365448505,0.580884232047023,0,0.00587784308714541,0.0086463923673226,0.0500042593065849,"2012-16"
"24",2017,"Arlington Heights",0,5873,0,0,970,12375,3524,5873,1825,7112,20433,22462,0,0,0,0,0,0,0,0,0,0,NA,0.0783838383838384,0.600034054146092,0.256608548931384,0.909669664321966,NA,NA,NA,NA,NA,NA,NA,NA,"2013-17"
"25",2010,"Atwater Village",3058783,2791,243186059,4538,609,6527,1324,2791,418,4538,9512,10777,0,2170,135,4990,0,22,114,3500,10931,1095.94518093873,53588.8186425738,0.0933047341810939,0.474381941956288,0.0921110621419127,0.882620395286258,0,0.198517976397402,0.0123501966883176,0.456499862775592,0,0.00201262464550361,0.010429054981246,0.320190284511939,"2006-10"
"26",2011,"Atwater Village",3179261,2771,253422228,4452,622,6582,1353,2771,405,4452,9375,10666,0,2175,153,4837,0,24,233,3357,10779,1147.33345362685,56923.2318059299,0.0945001519295047,0.488271382172501,0.0909703504043127,0.878961185074067,0,0.201781241302533,0.0141942666295575,0.448742926059931,0,0.00222655162816588,0.0216161053901104,0.311438908989702,"2007-11"
"27",2012,"Atwater Village",3262498,2623,234954164,4393,556,6285,1414,2623,326,4393,8969,10383,0,1734,167,5034,10,29,232,3246,10452,1243.80404117423,53483.7614386524,0.0884645982498011,0.539077392298894,0.0742089688140223,0.863815852836367,0,0.165901262916188,0.0159778032912361,0.481630309988519,0.000956754688097972,0.00277458859548412,0.0221967087638729,0.310562571756602,"2008-12"
"28",2013,"Atwater Village",3298009,2594,275288774,4329,608,6231,1440,2594,352,4329,8854,10109,0,2157,126,4392,72,0,235,3229,10211,1271.39899768697,63591.7703857704,0.0975766329642112,0.555127216653816,0.0813120813120813,0.875853200118706,0,0.211242777396925,0.0123396337283322,0.430124375673293,0.00705121927333268,0,0.0230143962393497,0.316227597688767,"2009-13"
"29",2014,"Atwater Village",3432506,2671,288311403,4301,532,6157,1341,2671,317,4301,8782,10092,0,2132,128,4535,50,0,219,3060,10124,1285.10146012729,67033.57428505,0.0864057170700016,0.502059153874953,0.0737037898163218,0.870194213238208,0,0.21058870011853,0.0126432240221256,0.447945476096405,0.00493875938364283,0,0.0216317661003556,0.302252074278941,"2010-14"
"30",2015,"Atwater Village",3411596,2488,267794565,4198,509,6199,1368,2488,310,4198,9190,10221,0,2405,121,4329,46,49,254,3061,10265,1371.22025723473,63790.9873749405,0.0821100177447976,0.54983922829582,0.0738446879466413,0.899129243713922,0,0.234291281052119,0.0117876278616659,0.421724305893814,0.00448124695567462,0.00477350219191427,0.0247442766682903,0.298197759376522,"2011-15"
"31",2016,"Atwater Village",3432212,2421,285271026,4218,489,6346,1310,2421,264,4218,9335,10269,6,2406,149,4144,47,51,235,3321,10359,1417.68360181743,67631.8221906117,0.0770564134888119,0.541098719537381,0.0625889046941678,0.909046645242964,0.000579206487112656,0.232261801332175,0.0143836277632976,0.400038613765808,0.00453711748238247,0.00492325514045757,0.0226855874119123,0.320590790616855,"2012-16"
