"neighborhood","Year","building.type","NumberUnits","zillow_RegionName","zillow_major_area","zillow_minor_area","zillow_increase_1119","zillow_pct_increase_1119","zillow_increase_1113","zillow_increase_1315","zillow_increase_1517","zillow_increase_1719","zillow_pct_increase_1113","zillow_pct_increase_1315","zillow_pct_increase_1517","zillow_pct_increase_1719","zillow_Rent_inflationAdjusted","acs_HHs_Rent","acs_Income_HHs","acs_Unemploy_Count","acs_Labor_Force_Pop","acs_Burden_Count","acs_Renter_Households","acs_Overcrowd_Count","acs_Total_Households","acs_Stability_Count","Pov_Pop_Above_One_Year","acs_American.Indian.Native.Population","acs_Asian.Population","acs_Black.Population","acs_Hispanic.Population","acs_Native.Hawaiian.Other.Pacific.Islander.Population","acs_Other.Race.Population","acs_Population.of.Two.or.More.Races","acs_White.Population","acs_Total_Population","acs_Weighted_Median_Rent","acs_Weighted_Median_Income","acs_Unemployment_Rate","acs_Rent_Burden_Rate","acs_Overcrowded_Rate","acs_Stability_Rate","acs_American.Indian.Native_Pct","acs_Asian.Population_Pct","acs_Black.Population_Pct","acs_Hispanic.Population_Pct","acs_Native.Hawaiian.Other.Pacific.Islander.Population_Pct","acs_Other.Race.Population_Pct","acs_Population.of.Two.or.More.Races_Pct","acs_White.Population_Pct","acs_ACS_Census_Period","NumberUnits_lag1","zillow_Rent_inflationAdjusted_lag1","acs_HHs_Rent_lag1","acs_Income_HHs_lag1","acs_Stability_Count_lag1","acs_Unemployment_Rate_lag1","acs_Rent_Burden_Rate_lag1"
"Adams-Normandie","2013","Multifamily",4189,"South Los Angeles","South","South LA",566.5,0.312379376895506,15.867,163.443,276.666,110.524,0.00874937965260544,0.0893440189967351,0.138832101404549,0.0487002285990246,1829.367,4075,5250,965,8755,2601,4075,1069,5250,15263,17577,4,1291,3660,11561,0,134,45,1148,17843,919.573251533742,29023.419047619,0.110222729868646,0.638282208588957,0.203619047619048,0.868350685554987,0.000224177548618506,0.0723533038166228,0.205122456985933,0.647929159894637,0,0.00750994787871995,0.00252199742195819,0.0643389564535112,"2009-13",NA,NA,NA,NA,NA,NA,NA
"Adams-Normandie","2013","Single Family",888,"South Los Angeles","South","South LA",566.5,0.312379376895506,15.867,163.443,276.666,110.524,0.00874937965260544,0.0893440189967351,0.138832101404549,0.0487002285990246,1829.367,4075,5250,965,8755,2601,4075,1069,5250,15263,17577,4,1291,3660,11561,0,134,45,1148,17843,919.573251533742,29023.419047619,0.110222729868646,0.638282208588957,0.203619047619048,0.868350685554987,0.000224177548618506,0.0723533038166228,0.205122456985933,0.647929159894637,0,0.00750994787871995,0.00252199742195819,0.0643389564535112,"2009-13",NA,NA,NA,NA,NA,NA,NA
"Adams-Normandie","2014","Single Family",890,"South Los Angeles","South","South LA",566.5,0.312379376895506,15.867,163.443,276.666,110.524,0.00874937965260544,0.0893440189967351,0.138832101404549,0.0487002285990246,1802.255,4176,5304,993,8741,2686,4176,1006,5304,15261,17685,0,1422,3809,11466,8,193,60,984,17942,960.364942528736,28633.112745098,0.113602562635854,0.643199233716475,0.189668174962293,0.862934690415606,0,0.0792553784416453,0.212295173336306,0.639059190725672,0.000445881172667484,0.0107568832906031,0.00334410879500613,0.0548433842381005,"2010-14",888,1829.367,4075,5250,15263,0.110222729868646,0.638282208588957
"Adams-Normandie","2014","Multifamily",4189,"South Los Angeles","South","South LA",566.5,0.312379376895506,15.867,163.443,276.666,110.524,0.00874937965260544,0.0893440189967351,0.138832101404549,0.0487002285990246,1802.255,4176,5304,993,8741,2686,4176,1006,5304,15261,17685,0,1422,3809,11466,8,193,60,984,17942,960.364942528736,28633.112745098,0.113602562635854,0.643199233716475,0.189668174962293,0.862934690415606,0,0.0792553784416453,0.212295173336306,0.639059190725672,0.000445881172667484,0.0107568832906031,0.00334410879500613,0.0548433842381005,"2010-14",4189,1829.367,4075,5250,15263,0.110222729868646,0.638282208588957
"Adams-Normandie","2015","Multifamily",4196,"South Los Angeles","South","South LA",566.5,0.312379376895506,15.867,163.443,276.666,110.524,0.00874937965260544,0.0893440189967351,0.138832101404549,0.0487002285990246,1992.81,4453,5390,1149,8760,2771,4453,1055,5390,15065,17612,0,1412,3749,11475,8,182,60,981,17867,953.369413878284,28995.7977736549,0.131164383561644,0.62227711655064,0.195732838589981,0.855382693617988,0,0.0790283763362624,0.209828174847484,0.642245480494767,0.000447752840432082,0.0101863771198299,0.00335814630324061,0.054905692057984,"2011-15",4189,1802.255,4176,5304,15261,0.113602562635854,0.643199233716475
"Adams-Normandie","2015","Single Family",889,"South Los Angeles","South","South LA",566.5,0.312379376895506,15.867,163.443,276.666,110.524,0.00874937965260544,0.0893440189967351,0.138832101404549,0.0487002285990246,1992.81,4453,5390,1149,8760,2771,4453,1055,5390,15065,17612,0,1412,3749,11475,8,182,60,981,17867,953.369413878284,28995.7977736549,0.131164383561644,0.62227711655064,0.195732838589981,0.855382693617988,0,0.0790283763362624,0.209828174847484,0.642245480494767,0.000447752840432082,0.0101863771198299,0.00335814630324061,0.054905692057984,"2011-15",890,1802.255,4176,5304,15261,0.113602562635854,0.643199233716475
"Adams-Normandie","2016","Multifamily",4198,"South Los Angeles","South","South LA",566.5,0.312379376895506,15.867,163.443,276.666,110.524,0.00874937965260544,0.0893440189967351,0.138832101404549,0.0487002285990246,2103.677,4287,5324,1178,8389,2630,4287,943,5324,15256,17338,0,1363,3782,11036,11,94,103,1143,17532,982.503848845346,30506.6602178813,0.140421981165812,0.613482621880103,0.177122464312547,0.879916945437767,0,0.0777435546429386,0.215719826602783,0.629477526808122,0.000627424138717773,0.0053616244581337,0.00587497148072097,0.0651950718685832,"2012-16",4196,1992.81,4453,5390,15065,0.131164383561644,0.62227711655064
"Adams-Normandie","2016","Single Family",888,"South Los Angeles","South","South LA",566.5,0.312379376895506,15.867,163.443,276.666,110.524,0.00874937965260544,0.0893440189967351,0.138832101404549,0.0487002285990246,2103.677,4287,5324,1178,8389,2630,4287,943,5324,15256,17338,0,1363,3782,11036,11,94,103,1143,17532,982.503848845346,30506.6602178813,0.140421981165812,0.613482621880103,0.177122464312547,0.879916945437767,0,0.0777435546429386,0.215719826602783,0.629477526808122,0.000627424138717773,0.0053616244581337,0.00587497148072097,0.0651950718685832,"2012-16",889,1992.81,4453,5390,15065,0.131164383561644,0.62227711655064
"Adams-Normandie","2017","Multifamily",4194,"South Los Angeles","South","South LA",566.5,0.312379376895506,15.867,163.443,276.666,110.524,0.00874937965260544,0.0893440189967351,0.138832101404549,0.0487002285990246,2269.476,4187,0,1195,8699,2522,4187,1054,5332,15314,17361,0,0,0,0,0,0,0,0,0,0,NA,0.137372111736981,0.60234057797946,0.197674418604651,0.88209204538909,NA,NA,NA,NA,NA,NA,NA,NA,"2013-17",4198,2103.677,4287,5324,15256,0.140421981165812,0.613482621880103
"Adams-Normandie","2017","Single Family",893,"South Los Angeles","South","South LA",566.5,0.312379376895506,15.867,163.443,276.666,110.524,0.00874937965260544,0.0893440189967351,0.138832101404549,0.0487002285990246,2269.476,4187,0,1195,8699,2522,4187,1054,5332,15314,17361,0,0,0,0,0,0,0,0,0,0,NA,0.137372111736981,0.60234057797946,0.197674418604651,0.88209204538909,NA,NA,NA,NA,NA,NA,NA,NA,"2013-17",888,2103.677,4287,5324,15256,0.140421981165812,0.613482621880103
