permit,rdus,size,50+units,in_count,date,year,period,month,quarter,quarteryear,zip,tract,coord
16010-10000-04628,910,200+ units,Yes,Yes,6/28/18,2018,2018,6,Q2,Q2 2018,90016,2199.02,
15010-10000-00347,735,200+ units,Yes,Yes,11/12/15,2015,2013-17,11,Q4,Q4 2015,90017,2077.1,"(34.04866, -118.26309)"
13010-10000-00711,703,200+ units,Yes,Yes,4/3/14,2014,2013-17,4,Q2,Q2 2014,90094,2756.02,"(33.97968, -118.40871)"
12010-10000-00537,700,200+ units,Yes,Yes,4/4/14,2014,2013-17,4,Q2,Q2 2014,90014,2077.1,"(34.04603, -118.25748)"
16010-10000-01129,695,200+ units,Yes,Yes,8/29/17,2017,2013-17,8,Q3,Q3 2017,90038,1919.01,"(34.09085, -118.33573)"
14010-10000-01777,666,200+ units,Yes,Yes,4/7/17,2017,2013-17,4,Q2,Q2 2017,90015,2079,"(34.0408, -118.26471)"
13010-10000-04232,648,200+ units,Yes,Yes,11/9/15,2015,2013-17,11,Q4,Q4 2015,90015,2079,"(34.04165, -118.26674)"
13010-10000-03498,606,200+ units,Yes,Yes,6/16/15,2015,2013-17,6,Q2,Q2 2015,90017,2092,"(34.05418, -118.26297)"
16010-10000-01422,595,200+ units,Yes,Yes,3/21/17,2017,2013-17,3,Q1,Q1 2017,90064,2678,"(34.03584, -118.43453)"
05010-10000-02286,566,200+ units,Yes,Yes,3/23/13,2013,2013-17,3,Q1,Q1 2013,90012,2071,"(34.06175, -118.24658)"
13010-10000-03761,536,200+ units,Yes,Yes,8/31/16,2016,2013-17,8,Q3,Q3 2016,90015,2079,"(34.04095, -118.26231)"
13010-10000-01727,525,200+ units,Yes,Yes,8/23/16,2016,2013-17,8,Q3,Q3 2016,90017,2077.1,"(34.0452, -118.25996)"
14010-10000-03145,514,200+ units,Yes,Yes,11/4/15,2015,2013-17,11,Q4,Q4 2015,90017,2077.1,"(34.04791, -118.26383)"
15010-20000-00974,507,200+ units,Yes,Yes,2/2/16,2016,2013-17,2,Q1,Q1 2016,90028,1910,"(34.10136, -118.32459)"
14010-10000-02811,504,200+ units,Yes,Yes,5/23/16,2016,2013-17,5,Q2,Q2 2016,90015,2079,"(34.04284, -118.26457)"
14010-10000-01775,498,200+ units,Yes,Yes,9/28/16,2016,2013-17,9,Q3,Q3 2016,90014,2077.1,"(34.04392, -118.25657)"
13010-10000-00709,491,200+ units,Yes,Yes,2/28/14,2014,2013-17,2,Q1,Q1 2014,90094,2756.02,"(33.97786, -118.41484)"
14010-10000-00492,472,200+ units,Yes,Yes,8/26/15,2015,2013-17,8,Q3,Q3 2015,90013,2060.31,"(34.04578, -118.23334)"
16010-10000-00347,450,200+ units,Yes,Yes,5/23/18,2018,2018,5,Q2,Q2 2018,90013,2073.01,"(34.04925, -118.24934)"
13010-10000-02211,413,200+ units,Yes,Yes,2/24/15,2015,2013-17,2,Q1,Q1 2015,90015,2079,"(34.04157, -118.25655)"
14010-10000-02478,398,200+ units,Yes,Yes,7/27/15,2015,2013-17,7,Q3,Q3 2015,90005,2111.2,
06010-10000-05571,395,200+ units,Yes,Yes,4/19/13,2013,2013-17,4,Q2,Q2 2013,91367,1349.05,
15010-10000-00387,379,200+ units,Yes,Yes,9/1/16,2016,2013-17,9,Q3,Q3 2016,91367,1371.04,"(34.17943, -118.59525)"
12010-10000-01448,376,200+ units,Yes,Yes,3/31/15,2015,2013-17,3,Q1,Q1 2015,90017,2092,"(34.05196, -118.26214)"
17010-10000-01378,375,200+ units,Yes,Yes,4/20/18,2018,2018,4,Q2,Q2 2018,90731,2962.2,"(33.73963, -118.28119)"
16010-10000-03279,369,200+ units,Yes,Yes,6/15/18,2018,2018,6,Q2,Q2 2018,90028,1908.02,
14010-10000-01765,363,200+ units,Yes,Yes,9/23/15,2015,2013-17,9,Q3,Q3 2015,90014,2077.1,"(34.04514, -118.25715)"
14010-10000-00931,362,200+ units,Yes,Yes,3/2/15,2015,2013-17,3,Q1,Q1 2015,90015,2079,"(34.03857, -118.26278)"
06010-10000-00402,348,200+ units,Yes,Yes,2/16/13,2013,2013-17,2,Q1,Q1 2013,90015,2079,"(34.04604, -118.26272)"
13010-10000-02721,347,200+ units,Yes,Yes,3/11/15,2015,2013-17,3,Q1,Q1 2015,90015,2079,"(34.03989, -118.26331)"
15010-10000-02769,347,200+ units,Yes,Yes,2/1/17,2017,2013-17,2,Q1,Q1 2017,90013,2075.02,"(34.04936, -118.25245)"
14010-10000-03553,346,200+ units,Yes,Yes,12/18/15,2015,2013-17,12,Q4,Q4 2015,90005,2125.02,"(34.0605, -118.30557)"
14010-10000-02380,341,200+ units,Yes,Yes,8/4/16,2016,2013-17,8,Q3,Q3 2016,90015,2079,"(34.04583, -118.26186)"
13010-10000-03499,338,200+ units,Yes,Yes,11/13/14,2014,2013-17,11,Q4,Q4 2014,91324,1134.01,"(34.22847, -118.55614)"
17010-20000-01757,335,200+ units,Yes,Yes,1/2/18,2018,2018,1,Q1,Q1 2018,91367,1374.01,
13010-10000-01451,327,200+ units,Yes,Yes,2/11/14,2014,2013-17,2,Q1,Q1 2014,90045,2760,"(33.97536, -118.38767)"
12010-10000-02536,320,200+ units,Yes,Yes,1/7/14,2014,2013-17,1,Q1,Q1 2014,90012,2060.31,"(34.04727, -118.23464)"
16010-10000-00814,320,200+ units,Yes,Yes,1/25/17,2017,2013-17,1,Q1,Q1 2017,90021,2060.31,"(34.03508, -118.23039)"
15010-10000-02058,313,200+ units,Yes,Yes,1/26/17,2017,2013-17,1,Q1,Q1 2017,90013,2075.02,"(34.0495, -118.2514)"
13010-10000-00694,309,200+ units,Yes,Yes,2/28/14,2014,2013-17,2,Q1,Q1 2014,90094,2756.02,"(33.97556, -118.41956)"
13010-10000-03024,308,200+ units,Yes,Yes,2/25/15,2015,2013-17,2,Q1,Q1 2015,90017,2077.1,"(34.04768, -118.26404)"
15010-10000-02877,300,200+ units,Yes,Yes,6/15/16,2016,2013-17,6,Q2,Q2 2016,90014,2073.01,"(34.04348, -118.25306)"
