zip,rdu_count
90016,1301
90028,985
91367,859
91601,481
90013,450
90731,409
91335,307
90057,300
90038,293
90005,269
90067,268
90026,258
90025,234
90044,225
91352,223
90006,220
90029,218
91325,214
91311,210
90035,200
91326,192
90043,192
90004,189
90002,164
90045,159
91405,153
90012,152
90019,147
90020,146
91606,135
90003,134
90014,125
90034,120
90069,117
91342,112
90066,111
91602,106
90018,101
91303,95
90027,92
90048,86
90033,86
91343,83
90064,83
90037,82
90041,81
90011,76
91401,74
91324,74
90042,72
90049,69
90007,68
91306,58
90272,58
91604,57
91304,57
90036,53
91607,52
90744,47
90291,44
90024,43
90046,42
91411,40
91402,37
91331,31
91403,30
90061,30
90039,30
90001,30
91436,29
90065,27
90062,27
90077,26
90210,23
91316,20
91042,20
91423,19
91344,19
90032,19
91356,18
90094,16
90059,16
91364,15
91040,15
90068,15
90047,15
91605,14
90031,13
91406,11
90023,10
91307,8
90010,8
90248,6
90063,6
91345,4
90732,4
90402,4
91504,3
90710,2
90247,2
90230,2
91340,1
90501,1
90212,1
90008,1
