permit_number,case_number,unique_id,type,duplicate,address,zip,application_date,permitted,permit_date,application_quarter,permit_quarter,tier,lat,long,eli,vli,li,uncat,total_affordable,market_rate,units,building_size,pct_affordable,affordability,orig_order
15010-10003-03531,,15010-10003-03531,by-right,No,4121 W SANTA MONICA BLVD,90029,,Yes,08/23/2018,,,,34.09205,-118.28241,5,0,0,0,5,36,41,020-049 units,0.12,10-19%,48
16010-10000-05000,,16010-10000-05000,by-right,No,5050 W PICO BLVD,90019,,No,N/A,,,,34.04771,-118.34793,8,0,0,0,8,71,79,050-099 units,0.10,10-19%,1
16010-10000-05342,,16010-10000-05342,by-right,No,1053 S FEDORA ST 1-40,90006,,No,N/A,,,,34.05119,-118.29810,0,5,0,0,5,35,40,020-049 units,0.13,10-19%,2
17010-10000-00027,,17010-10000-00027,by-right,No,5460 W FOUNTAIN AVE,90029,,Yes,01/16/2019,,,,34.09468,-118.30875,0,0,0,0,0,49,49,020-049 units,0.00,N/A,3
17010-10000-02540,,17010-10000-02540,by-right,No,8750 S VERMONT AVE,90044,,Yes,03/29/2018,,,,33.95806,-118.29136,0,0,20,0,20,1,21,020-049 units,0.95,90+%,8
17010-10000-02542,,17010-10000-02542,by-right,No,957 W 88TH ST 1-41,90044,,Yes,03/29/2018,,,,33.95808,-118.29055,0,0,40,0,40,1,41,020-049 units,0.98,90+%,9
17010-10000-02557,,17010-10000-02557,by-right,No,723 S ST ANDREWS PL,90005,,Yes,05/21/2019,,,,34.05882,-118.31130,0,0,0,0,0,65,65,050-099 units,0.00,N/A,7
17010-10000-04195,,17010-10000-04195,by-right,No,1180 S LA BREA AVE,90019,,No,N/A,,,,34.05385,-118.34333,0,6,0,0,6,61,67,050-099 units,0.09,<10%,12
17010-10000-04353,,17010-10000-04353,by-right,No,2465 Purdue Ave,90064,,No,N/A,,,,34.03262,-118.43944,0,0,0,0,0,17,17,010-019 units,0.00,N/A,14
17010-10000-04508,,17010-10000-04508,by-right,No,3741 S MOTOR AVE,90034,,Yes,02/13/2019,,,,34.02157,-118.40525,0,3,0,0,3,27,30,020-049 units,0.10,10-19%,15
17010-10000-04994,,17010-10000-04994,by-right,No,428 S ROBERTSON BLVD 1-37,90048,,Yes,07/12/2018,,,,34.07128,-118.38361,3,0,0,0,3,34,37,020-049 units,0.08,<10%,16
17010-10000-05023,,17010-10000-05023,by-right,No,8721 S BROADWAY,90003,,No,N/A,,,,33.95809,-118.27843,0,0,0,60,60,0,60,050-099 units,1.00,90+%,19
17010-10000-05024,,17010-10000-05024,by-right,No,321 W 88TH ST,90003,,No,N/A,,,,33.95745,-118.27914,0,0,0,6,6,0,6,005-009 units,1.00,90+%,18
17010-10000-05025,,17010-10000-05025,by-right,No,321 W 88TH ST B,90003,,No,N/A,,,,33.95745,-118.27914,0,0,0,7,7,0,7,005-009 units,1.00,90+%,20
17010-10000-05027,,17010-10000-05027,by-right,No,321 W 88TH ST C,90003,,No,N/A,,,,33.95745,-118.27914,0,0,0,5,5,0,5,005-009 units,1.00,90+%,21
17010-10000-05028,,17010-10000-05028,by-right,No,321 W 88TH ST CR,90003,,No,N/A,,,,33.95745,-118.27914,0,0,0,5,5,0,5,005-009 units,1.00,90+%,22
17010-10000-05029,,17010-10000-05029,by-right,No,321 W 88TH ST C1.5,90003,,No,N/A,,,,33.95745,-118.27914,0,0,0,5,5,0,5,005-009 units,1.00,90+%,23
17010-10000-05030,,17010-10000-05030,by-right,No,321 W 88TH ST CR1,90003,,No,N/A,,,,33.95745,-118.27914,0,0,0,5,5,0,5,005-009 units,1.00,90+%,24
17010-10000-05031,,17010-10000-05031,by-right,No,321 W 88TH ST BR,90003,,No,N/A,,,,33.95745,-118.27914,0,0,0,7,7,0,7,005-009 units,1.00,90+%,25
17010-10000-05032,,17010-10000-05032,by-right,No,321 W 88TH ST AR,90003,,No,N/A,,,,33.95745,-118.27914,0,0,0,6,6,0,6,005-009 units,1.00,90+%,26
17010-10002-01522,,17010-10002-01522,by-right,No,5335 W ADAMS BLVD 1-60,90016,,Yes,10/31/2018,,,,34.03265,-118.35663,0,7,0,0,7,11,18,010-019 units,0.39,30-40%,55
